
Unique Visitors for publico.es - from 03/2011 to 03/2012

Date,Unique Visitors,Growth
03/2011,"24,503",124.22%
04/2011,"12,507",-48.96%
05/2011,"14,564",16.45%
06/2011,"58,711",303.12%
07/2011,"30,778",-47.58%
08/2011,"19,315",-37.24%
09/2011,"18,898",-2.16%
10/2011,"22,532",19.23%
11/2011,"14,396",-36.11%
12/2011,"16,667",15.78%
01/2012,"25,166",50.99%
02/2012,"23,772",-5.54%
03/2012,"18,647",-21.56%
