
Unique Visitors for yahoo.com - from 12/2010 to 12/2011

Date,Unique Visitors,Growth
12/2010,"136,949,265",1.85%
01/2011,"131,868,348",-3.71%
02/2011,"130,776,979",-0.83%
03/2011,"137,436,891",5.09%
04/2011,"137,281,886",-0.11%
05/2011,"141,861,921",3.34%
06/2011,"142,386,880",0.37%
07/2011,"144,883,612",1.75%
08/2011,"149,478,201",3.17%
09/2011,"150,033,924",0.37%
10/2011,"153,108,462",2.05%
11/2011,"153,143,134",0.02%
12/2011,"156,231,746",2.02%
