"SoundCloud","Berlin","Germany","https://www.secondmarket.com/company/soundcloud","http://soundcloud.com","2011-01-01","1.0E7"
"Uber","San Francisco","CA","https://www.secondmarket.com/company/ubercab","http://www.uber.com","2011-12-01","3.2E7"
"Silver Spring Networks","Redwood City","CA","https://www.secondmarket.com/company/silver-spring-networks","http://www.silverspringnet.com/","2011-12-01","2.4E7"
"StockTwits","Phoenix","AZ","https://www.secondmarket.com/company/stocktwits","http://stocktwits.com/","2010-10-01","4000000.0"
"Scribd","San Francisco","CA","https://www.secondmarket.com/company/scribd","http://scribd.com","2011-01-01","1.3E7"
"HubSpot","Cambridge","MA","https://www.secondmarket.com/company/hubspot","http://www.hubspot.com/","2011-03-01","3.2E7"
"Zoosk","San Francisco","CA","https://www.secondmarket.com/company/zooskcom","http://www.zoosk.com","2009-11-01","3.0E7"
"Prosper Marketplace","San Francisco","CA","https://www.secondmarket.com/company/prosper-marketplace","www.prosper.com","2011-06-01","1.7E7"
"Rent the Runway","New York","NY","https://www.secondmarket.com/company/rent-the-runway","http://www.renttherunway.com/","2011-05-01","1.5E7"
"Cafepress","San Mateo","CA","https://www.secondmarket.com/company/cafepress","http://www.cafepress.com","2005-02-01","1.4E7"
"Pinterest","Palo Alto","CA","https://www.secondmarket.com/company/pinterest","http://pinterest.com/","2011-10-01","2.7E7"
"BitTorrent","San Francisco","CA","https://www.secondmarket.com/company/bittorrent-inc","http://www.bittorrent.com/","2008-09-01","7000000.0"
"TweetDeck","New York","NY","https://www.secondmarket.com/company/tweetdeck","http://www.tweetdeck.com","2010-05-01","3500000.0"
"Recyclebank","New York","NY","https://www.secondmarket.com/company/recyclebank","http://www.recyclebank.com","2011-02-01","1.4E7"
"BrightSource Energy","Oakland","CA","https://www.secondmarket.com/company/brightsource-energy","http://www.brightsourceenergy.com","2011-04-01","1.68E8"
"Business Insider","New York","NY","https://www.secondmarket.com/company/business-insider","http://www.businessinsider.com","2011-09-01","7000000.0"
"Redfin","Seattle","WA","https://www.secondmarket.com/company/redfin","http://redfin.com","2011-10-01","1.4E7"
"Buddy Media","New York","NY","https://www.secondmarket.com/company/buddy-media","http://buddymedia.com","2011-08-01","5.4E7"
"ZocDoc","New York","NY","https://www.secondmarket.com/company/zoc-doc","http://www.zocdoc.com","2011-09-01","7.5E7"
"Hunch","New York","NY","https://www.secondmarket.com/company/hunch","http://www.hunch.com","2010-03-01","1.2E7"
"Zendesk","San Francisco","CA","https://www.secondmarket.com/company/zendesk","http://zendesk.com/","2010-12-01","1.9E7"
"Color Labs","Palo Alto","CA","https://www.secondmarket.com/company/color","http://www.color.com/","2011-03-01","4.1E7"
"Workday","Pleasanton","CA","https://www.secondmarket.com/company/workday","http://www.workday.com","2011-10-01","8.5E7"
"Bonobos","New York","NY","https://www.secondmarket.com/company/bonobos","http://www.bonobos.com","2010-12-01","1.8E7"
"Ustream","San Francisco","CA","https://www.secondmarket.com/company/ustream","http://www.ustream.tv","2011-11-01","6000000.0"
"Asana","San Francisco","CA","https://www.secondmarket.com/company/asana","http://www.asana.com","2009-11-01","9000000.0"
"bit.ly","New York","NY","https://www.secondmarket.com/company/bitly","http://bit.ly","2010-10-01","1.0E7"
"Klout","San Francisco","CA","https://www.secondmarket.com/company/klout","http://klout.com","2012-01-01","3.0E7"
"Atari","New York","NY","https://www.secondmarket.com/company/atari","http://www.atari.com/","2005-09-01","7260000.0"
"Palo Alto Networks","Santa Clara","CA","https://www.secondmarket.com/company/palo-alto-networks","http://www.paloaltonetworks.com/","2008-11-01","1.0E7"
"SurveyMonkey","Portland","OR","https://www.secondmarket.com/company/surveymonkey","http://www.surveymonkey.com","2010-11-01","1.0E8"
"Space Exploration Technologies (SpaceX)","Hawthorne","CA","https://www.secondmarket.com/company/space-exploration-technologies","http://www.spacex.com/","2010-11-01","5.0E7"
"Qwiki","San Francisco","CA","https://www.secondmarket.com/company/qwiki","http://www.qwiki.com/","2011-03-01","1000000.0"
"SugarCRM","Cupertino","CA","https://www.secondmarket.com/company/sugarcrm","http://sugarcrm.com","2008-01-01","2.0E7"
"Path","San Francisco","CA","https://www.secondmarket.com/company/path","http://path.com","2011-02-01","8650000.0"
"Hipmunk","San Francisco","CA","https://www.secondmarket.com/company/hipmunk","http://www.hipmunk.com/","2011-01-01","4200000.0"
"One Kings Lane","San Francisco","CA","https://www.secondmarket.com/company/one-kings-lane","http://www.onekingslane.com","2011-09-01","4.0E7"
"Bump Technologies","Mountain View","CA","https://www.secondmarket.com/company/bump-technologies","http://bu.mp","2011-01-01","1.6E7"
"Xobni","San Francisco","CA","https://www.secondmarket.com/company/xobni","http://www.xobni.com","2010-04-01","1.6E7"
"Zazzle","Redwood City","CA","https://www.secondmarket.com/company/zazzle","http://zazzle.com","2007-10-01","3.0E7"
"Coupons.com","Mountain View","CA","https://www.secondmarket.com/company/couponscom","http://www.coupons.com","2011-10-01","3.0E7"
"Better Place","Palo Alto","CA","https://www.secondmarket.com/company/better-place","http://www.betterplace.com","2011-11-01","2.0E8"
"Indeed","Stamford","CT","https://www.secondmarket.com/company/indeed","http://www.indeed.com","2005-08-01","5000000.0"
"WePay","Palo Alto","CA","https://www.secondmarket.com/company/wepay","https://www.wepay.com","2010-08-01","7500000.0"
"Splunk","San Francisco","CA","https://www.secondmarket.com/company/splunk","http://www.splunk.com/","2007-09-01","2.5E7"
"Brightcove","Cambridge","MA","https://www.secondmarket.com/company/brightcove","http://www.brightcove.com","2010-04-01","1.2E7"
"Jawbone","San Francisco","CA","https://www.secondmarket.com/company/aliph","http://jawbone.com","2011-12-01","4.0E7"
"Digital Chocolate","San Mateo","CA","https://www.secondmarket.com/company/digital-chocolate","http://www.digitalchocolate.com","2011-02-01","1.2E7"
"Yodlee","Redwood City","CA","https://www.secondmarket.com/company/yodlee","http://www.yodlee.com/","2008-06-01","3.5E7"
"AppNexus","New York","NY","https://www.secondmarket.com/company/appnexus","http://www.appnexus.com","2010-10-01","5.0E7"
"Barracuda Networks","Campbell","CA","https://www.secondmarket.com/company/barracuda-networks","http://www.barracudanetworks.com","2009-10-01","5610000.0"
"Glam Media","Brisbane","CA","https://www.secondmarket.com/company/glam-media","http://www.glammedia.com","2010-02-01","5.0E7"
"Turntable.fm","San Francisco","CA","https://www.secondmarket.com/company/turntablefm","http://turntable.fm/","2011-09-01","7000000.0"
"Brand Affinity Technologies","Irvine","CA","https://www.secondmarket.com/company/brand-affinity-technologies","http://www.brandaffinity.net","2010-08-01","2.0E7"
"Yodle","New York","NY","https://www.secondmarket.com/company/yodle","http://www.yodle.com/","2010-02-01","1.0E7"
"shopkick","Palo Alto","CA","https://www.secondmarket.com/company/shopkick","http://www.shopkick.com","2010-07-01","1.5E7"
"Opower","Arlington","VA","https://www.secondmarket.com/company/opower","http://www.opower.com/","2010-11-01","5.0E7"
"BOKU","San Francisco","CA","https://www.secondmarket.com/company/boku","http://www.boku.com","2010-05-01","0.0"
"ideeli","New York","NY","https://www.secondmarket.com/company/ideeli","http://www.ideeli.com/","2011-04-01","4.1E7"
"Linden Lab","Cambridge","MA","https://www.secondmarket.com/company/linden-lab","http://www.lindenlab.com","2006-03-01","1.1E7"
"Simple","Portland","OR","https://www.secondmarket.com/company/banksimple","http://www.simple.com","2011-08-01","1.0E7"
"GrubHub","Chicago","IL","https://www.secondmarket.com/company/grubhub","http://www.grubhub.com/","2011-09-01","5.0E7"
"Meebo","Mountain View","CA","https://www.secondmarket.com/company/meebo","http://www.meebo.com/","2010-12-01","2.7E7"
"Art.sy","New York","NY","https://www.secondmarket.com/company/artsy","http://art.sy","2011-11-01","6000000.0"
"Livestream","New York","NY","https://www.secondmarket.com/company/livestream","http://www.livestream.com/","2008-07-01","1.0E7"
"Serious Energy","Sunnyvale","CA","https://www.secondmarket.com/company/serious-materials","http://www.seriousenergy.com","2010-06-01","1.9E7"
"AVG Technologies","Chelmsford","MA","https://www.secondmarket.com/company/avg-technologies","http://www.avg.com","2009-07-01","2.0E8"
"Big Fish Games","Seattle","WA","https://www.secondmarket.com/company/big-fish-games","http://www.bigfishgames.com","2008-09-01","8.3E7"
"YouSendIt","Campbell","CA","https://www.secondmarket.com/company/yousendit","http://www.yousendit.com","2010-08-01","1.5E7"
"Knewton","New York","NY","https://www.secondmarket.com/company/knewton","http://www.knewton.com/","2011-10-01","3.3E7"
"Tagged","San Francisco","CA","https://www.secondmarket.com/company/tagged","http://www.tagged.com/","2010-01-01","201000.0"
"Gowalla","Austin","TX","https://www.secondmarket.com/company/gowalla","http://gowalla.com/","2010-01-01","105000.0"
"Yipit","New York","NY","https://www.secondmarket.com/company/yipit","http://yipit.com","2011-06-01","6000000.0"
"Justin.TV","San Francisco","CA","https://www.secondmarket.com/company/justintv","http://www.justin.tv","2007-10-01","0.0"
"Loopt","Mountain View","CA","https://www.secondmarket.com/company/loopt","http://www.loopt.com","2007-07-01","1.2E7"
"Funny Or Die","San Mateo","CA","https://www.secondmarket.com/company/funny-or-die","http://funnyordie.com","2008-12-01","3000000.0"
"RockMelt","Mountain View","CA","https://www.secondmarket.com/company/rockmelt","http://www.rockmelt.com/","2011-06-01","3.0E7"
"Kabam","Redwood City","CA","https://www.secondmarket.com/company/kabam-formerly-watercooler","http://www.kabam.com","2011-05-01","8.5E7"
"10gen","New York","NY","https://www.secondmarket.com/company/10gen","http://www.10gen.com/","2011-09-01","2.0E7"
"MobiTV","Emeryville","CA","https://www.secondmarket.com/company/mobitv","http://mobitv.com","2006-11-01","3.0E7"
"Roku","Saratoga","CA","https://www.secondmarket.com/company/roku","http://www.roku.com","2011-08-01","8000000.0"
"Masterseek","New York","NY","https://www.secondmarket.com/company/masterseek","http://www.masterseek.com","2007-05-01","1.2E7"
"OnLive","Palo Alto","CA","https://www.secondmarket.com/company/onlive","http://www.onlive.com","2011-02-01","4.0E7"
"the Rubicon Project","Los Angeles","CA","https://www.secondmarket.com/company/the-rubicon-project","http://rubiconproject.com","2010-11-01","1.8E7"
"SCVNGR","Cambridge","MA","https://www.secondmarket.com/company/scvngr","http://www.scvngr.com","2011-01-01","1.5E7"
