"Cloudera","Palo Alto, CA","https://www.secondmarket.com/company/cloudera","http://www.cloudera.com","Nov 2011","$40M"
"Cargill","Minnetonka, MN","https://www.secondmarket.com/company/cargill","http://www.cargill.com","",""
"Stack Overflow","New York, NY","https://www.secondmarket.com/company/stack-overflow","http://stackoverflow.com/","May 2010","$6M"
"37signals","Chicago, IL","https://www.secondmarket.com/company/37signals","http://37signals.com/","Jul 2006","Unknown"
"SoundCloud","Berlin, Germany","https://www.secondmarket.com/company/soundcloud","http://soundcloud.com","Jan 2011","$10M"
"Uber","San Francisco, CA","https://www.secondmarket.com/company/ubercab","http://www.uber.com","Dec 2011","$32M"
"Silver Spring Networks","Redwood City, CA","https://www.secondmarket.com/company/silver-spring-networks","http://www.silverspringnet.com/","Dec 2011","$24M"
"Levi Strauss","San Francisco, CA","https://www.secondmarket.com/company/levi-strauss","http://www.levistrauss.com","",""
"StockTwits","Phoenix, AZ","https://www.secondmarket.com/company/stocktwits","http://stocktwits.com/","Oct 2010","$4M"
"Scribd","San Francisco, CA","https://www.secondmarket.com/company/scribd","http://scribd.com","Jan 2011","$13M"
"VIZIO","Irvine, CA","https://www.secondmarket.com/company/vizio","http://www.vizio.com","",""
"HubSpot","Cambridge, MA","https://www.secondmarket.com/company/hubspot","http://www.hubspot.com/","Mar 2011","$32M"
"Zoosk","San Francisco, CA","https://www.secondmarket.com/company/zooskcom","http://www.zoosk.com","Nov 2009","$30M"
"Prosper Marketplace","San Francisco, CA","https://www.secondmarket.com/company/prosper-marketplace","www.prosper.com","Jun 2011","$17M"
"Sequoia Capital","Menlo Park, CA","https://www.secondmarket.com/company/sequoia-capital","http://www.sequoiacap.com/","",""
"Rent the Runway","New York, NY","https://www.secondmarket.com/company/rent-the-runway","http://www.renttherunway.com/","May 2011","$15M"
"Cafepress","San Mateo, CA","https://www.secondmarket.com/company/cafepress","http://www.cafepress.com","Feb 2005","$14M"
"Pinterest","Palo Alto, CA","https://www.secondmarket.com/company/pinterest","http://pinterest.com/","Oct 2011","$27M"
"BitTorrent","San Francisco, CA","https://www.secondmarket.com/company/bittorrent-inc","http://www.bittorrent.com/","Sep 2008","$7M"
"Publix Super Markets","Lakeland, FL","https://www.secondmarket.com/company/publix-super-markets","http://www.publix.com","",""
"TweetDeck","New York, NY","https://www.secondmarket.com/company/tweetdeck","http://www.tweetdeck.com","May 2010","$3.5M"
