"Ticker Symbol","Company Name","City","State","Salary Average","Salary Range"
"WFR","MEMC Electronic Materials Inc.","St Peters","MO","$84,520","$64,168  $140,000"
"WFT","Weatherford International Ltd.","GenÃ¨ve","GenÃ¨ve","",""
"WG","Willbros Group Inc.","Houston","TX","",""
"WGL","WGL Holdings Inc.","Washington","DC","",""
"WGO","Winnebago Industries Inc.","Forest City","IA","",""
"WHG","Westwood Holdings Group Inc.","Dallas","TX","",""
"WHR","Whirlpool Corp.","Benton Harbor","MI","",""
"WHRT","World Heart Corp.","Salt Lake City","UT","",""
"WHX","Whiting USA Trust I","Austin","TX","",""
"WIFI","Boingo Wireless, Inc.","Los Angeles","CA","$90,982","$52,900  $134,450"
"WIN","Windstream Corporation","Little Rock","AR","$84,244","$76,687  $91,800"
"WINA","Winmark Corp.","Minneapolis","MN","",""
"WINN","Winn-Dixie Stores Inc.","Jacksonville","FL","$93,036","$34,500  $137,404"
"WIRE","Encore Wire Corp.","McKinney","TX","",""
"WLB","Westmoreland Coal Co.","Englewood","CO","",""
"WLDN","Willdan Group, Inc.","Anaheim","CA","",""
"WLFC","Willis Lease Finance Corp.","Novato","CA","$125,989","$95,000  $150,000"
"WLFCP","Willis Lease Finance Corp.","Novato","CA","$125,989","$95,000  $150,000"
"WLK","Westlake Chemical Corp.","Houston","TX","$92,565","$70,000  $108,938"
"WLL","Whiting Petroleum Corp.","Denver","CO","",""
"VVUS","VIVUS Inc.","Mountain View","CA","",""
"WACLY","Wacoal Holdings Corp.","","","$75,000","$50,000  $100,000"
"WAG","Walgreen Co.","Deerfield","IL","$108,797","$32,070  $145,990"
"WAIR","Wesco Aircraft Holdings, Inc.","","CA","",""
"WAVX","Wave Systems Corp.","Lee","MA","$92,598","$73,112  $115,000"
"WBC","WABCO Holdings Inc.","Piscataway Township","NJ","",""
"WBSN","Websense, Inc.","San Diego","CA","$87,956","$50,000  $160,000"
"WCAA","WCA Waste Corporation","Houston","TX","$86,200","$75,000  $93,600"
"WCC","WESCO International Inc.","Pittsburgh","PA","",""
"WCN","Waste Connections Inc.","Folsom","CA","",""
"WD","Walker & Dunlop, Inc.","Bethesda","MD","$62,279","$39,000  $190,000"
"WDC","Western Digital Corp.","Irvine","CA","$80,302","$43,472  $190,000"
"WDFC","WD-40 Company","San Diego","CA","",""
"WEC","Wisconsin Energy Corp.","Milwaukee","WI","$162,400","$150,000  $174,800"
"WEN","The Wendy's Company","Dublin","OH","",""
"WERN","Werner Enterprises Inc.","Omaha","NE","$65,408","$32,000  $100,000"
"WES","Western Gas Partners LP","The Woodlands","TX","",""
"WEST","Westinghouse Solar, Inc.","Campbell","CA","",""
"WEYS","Weyco Group Inc.","Milwaukee","WI","$44,500","$44,000  $45,000"
"WFM","Whole Foods Market, Inc.","Austin","TX","$74,368","$43,264  $140,000"
"VRSK","Verisk Analytics, Inc.","Jersey City","NJ","",""
"VRSN","VeriSign, Inc.","Reston","VA","$88,326","$47,000  $117,200"
"VRTB","Vestin Realty Mortgage II, Inc.","Las Vegas","NV","",""
"VRTS","Virtus Investment Partners, Inc.","Hartford","CT","",""
"VRTU","Virtusa Corp.","Westborough","MA","$91,982","$46,000  $150,000"
"VRTX","Vertex Pharmaceuticals Incorporated","Cambridge","MA","$88,111","$44,000  $450,000"
"VRUS","Pharmasset, Inc.","","NJ","$80,979","$66,000  $100,000"
"VRX","Valeant Pharmaceuticals International, Inc.","Mississauga","ON","",""
"VSAT","ViaSat Inc.","Carlsbad","CA","$86,616","$52,493  $153,000"
"VSCI","Vision-Sciences Inc.","Orangeburg","NY","$62,272","$26,000  $165,000"
"VSCP","VirtualScopics Inc.","Rochester","NY","$73,700","$32,000  $110,000"
"VSEC","VSE Corp.","Alexandria","VA","",""
"VSH","Vishay Intertechnology Inc.","Malvern","PA","$98,676","$80,579  $125,000"
"VSI","Vitamin Shoppe, Inc.","North Bergen","NJ","$66,250","$62,500  $70,000"
"VSNT","Versant Corp.","Redwood City","CA","$93,154","$83,000  $130,000"
"VTR","Ventas, Inc.","Chicago","IL","",""
"VTSS","Vitesse Semiconductor Corp.","Camarillo","CA","$79,111","$43,000  $160,000"
"VVC","Vectren Corporation","Evansville","IN","$64,827","$35,280  $85,945"
"VVI","Viad Corp","Phoenix","AZ","",""
"VVTV","ValueVision Media Inc.","Eden Prairie","MN","",""
"VLTR","Volterra Semiconductor Corporation","Fremont","CA","$79,875","$56,657  $126,235"
"VMC","Vulcan Materials Company","Birmingham","AL","",""
"VMI","Valmont Industries, Inc.","Omaha","NE","$59,105","$27,000  $95,000"
"VMW","VMware, Inc.","Palo Alto","CA","$97,948","$48,808  $300,000"
"VNDA","Vanda Pharmaceuticals, Inc.","Rockville","MD","$79,000","$67,000  $85,000"
"VNR","Vanguard Natural Resources, LLC","Houston","TX","",""
"VOC","VOC Energy Trust","Austin","TX","",""
"VOCS","Vocus Inc.","","MD","",""
"VOD","Vodafone Group plc","","","",""
"VOLC","Volcano Corporation","San Diego","CA","",""
"VOXX","VOXX International Corporation","Hauppauge","NY","",""
"VPF","Valpey Fisher Corp.","Hopkinton","MA","",""
"VPG","Vishay Precision Group, Inc.","Malvern","PA","",""
"VPHM","ViroPharma Inc.","Exton","PA","$66,500","$58,000  $75,000"
"VQ","Venoco, Inc.","Denver","CO","",""
"VRA","Vera Bradley, Inc.","Fort Wayne","IN","",""
"VRML","Vermillion, Inc.","Austin","TX","",""
"VRNM","Verenium Corporation","San Diego","CA","$76,380","$44,505  $92,000"
"VRNT","Verint Systems Inc.","Melville","NY","$87,472","$52,166  $136,200"
"VRS","Verso Paper Corp.","Memphis","TN","$110,592","$105,777  $113,000"
"VCLK","ValueClick, Inc.","Westlake Village","CA","$82,279","$35,000  $150,000"
"VDSI","VASCO Data Security International Inc.","Oakbrook Terrace","IL","",""
"VECO","Veeco Instruments Inc.","Plainview","NY","$82,671","$55,000  $105,000"
"VELT","Velti Plc","","","$106,335","$85,000  $127,670"
"VFC","V.F. Corporation","Greensboro","NC","$107,437","$41,142  $300,000"
"VG","Vonage Holdings Corporation","Holmdel","NJ","$83,243","$42,000  $135,000"
"VGR","Vector Group Ltd.","Miami","FL","",""
"VHI","Valhi, Inc.","Dallas","TX","",""
"VHS","Vanguard Health Systems Inc.","Nashville","TN","",""
"VIAS","Viasystems Group Inc.","St Louis","MO","",""
"VICL","Vical Inc.","San Diego","CA","$79,503","$45,000  $96,720"
"VICR","Vicor Corp.","Andover","MA","$69,909","$45,000  $100,000"
"VIDE","Video Display Corp.","Tucker","GA","",""
"VIFL","Food Technology Service Inc.","Mulberry","FL","",""
"VIP","VimpelCom Ltd.","Amsterdam","Noord-Holland","",""
"VIRC","Virco Manufacturing Corp.","Torrance","CA","",""
"VITC","Vitacost.com, Inc.","Boca Raton","FL","",""
"VIVO","Meridian Bioscience Inc.","Cincinnati","OH","$36,287","$32,240  $52,000"
"VLNC","Valence Technology Inc.","Austin","TX","$82,076","$52,728  $120,000"
"VLO","Valero Energy Corporation","San Antonio","TX","$84,214","$45,000  $147,274"
"USMO","USA Mobility, Inc.","Springfield","VA","$58,067","$50,000  $63,200"
"USNA","USANA Health Sciences Inc.","Salt Lake City","UT","",""
"USPH","US Physical Therapy Inc.","Houston","TX","$45,618","$30,000  $62,000"
"USTR","United Stationers Inc.","Deerfield","IL","$83,663","$70,000  $108,000"
"UTEK","Ultratech, Inc.","San Jose","CA","$97,871","$56,839  $148,219"
"UTHR","United Therapeutics Corporation","Silver Spring","MD","$73,224","$50,637  $125,000"
"UTI","Universal Technical Institute, Inc.","Scottsdale","AZ","",""
"UTIW","UTi Worldwide Inc.","","","$48,000","$45,000  $52,500"
"UTL","Unitil Corp.","Hampton","NH","",""
"UTMD","Utah Medical Products Inc.","Midvale","UT","",""
"UTX","United Technologies Corp.","Hartford","CT","$70,478","$33,571  $130,000"
"UVV","Universal Corp.","Richmond","VA","$48,923","$46,000  $50,275"
"UWN","Nevada Gold & Casinos Inc.","Houston","TX","$71,857","$40,206  $124,259"
"UXG","US Gold Corporation","Toronto","ON","",""
"V","Visa, Inc.","San Francisco","CA","$113,209","$35,000  $1,250,000"
"VAC","Marriott Vacations Worldwide Corp.","Orlando","FL","",""
"VAL","The Valspar Corporation","Minneapolis","MN","$71,874","$46,987  $92,200"
"VAR","Varian Medical Systems Inc.","Palo Alto","CA","$99,202","$55,000  $173,420"
"VASC","Vascular Solutions Inc.","Maple Grove","MN","",""
"VCI","Valassis Communications Inc.","Livonia","MI","$61,192","$36,010  $82,970"
"UNS","UniSource Energy Corporation","Tucson","AZ","",""
"UNT","Unit Corp.","Tulsa","OK","$83,333","$62,000  $120,000"
"UNTD","United Online, Inc.","","CA","$89,079","$51,000  $144,792"
"UNTK","UniTek Global Services, Inc.","Blue Bell","PA","",""
"UNXL","Uni-Pixel Inc.","The Woodlands","TX","$91,333","$90,000  $94,000"
"UPI","Uroplasty Inc.","Minnetonka","MN","",""
"UPL","Ultra Petroleum Corp.","Houston","TX","",""
"UPS","United Parcel Service, Inc.","Atlanta","GA","$76,945","$45,900  $102,840"
"URBN","Urban Outfitters Inc.","Philadelphia","PA","$78,652","$27,810  $270,000"
"URI","United Rentals, Inc.","Greenwich","CT","$61,313","$43,000  $80,000"
"URRE","Uranium Resources, Inc.","Lewisville","TX","",""
"URS","URS Corporation","San Francisco","CA","$72,867","$40,684  $140,774"
"USAK","USA Truck Inc.","Van Buren","AR","",""
"USAP","Universal Stainless & Alloy Products Inc.","Bridgeville","PA","",""
"USAT","USA Technologies Inc.","Malvern","PA","$54,698","$42,000  $80,000"
"USG","USG Corporation","Chicago","IL","$72,868","$41,400  $99,600"
"USHS","US Home Systems Inc.","Lewisville","TX","$57,000","$50,000  $74,000"
"USLM","United States Lime & Minerals, Inc.","Dallas","TX","",""
"USM","United States Cellular Corporation","Chicago","IL","",""
"UFPT","UFP Technologies Inc.","Georgetown","MA","",""
"UFS","Domtar Corporation","MontrÃ©al","QC","",""
"UG","United-Guardian Inc.","Hauppauge","NY","$84,798","$24,000  $210,000"
"UGI","UGI Corp.","King of Prussia","PA","$48,173","$47,500  $49,192"
"UHAL","AMERCO","Reno","NV","",""
"UHS","Universal Health Services Inc.","King of Prussia","PA","",""
"UHT","Universal Health Realty Income Trust","King of Prussia","PA","",""
"UIL","UIL Holdings Corporation","New Haven","CT","",""
"UIS","Unisys Corporation","Blue Bell","PA","$83,181","$42,672  $406,630"
"UL","Unilever plc","","","$90,669","$32,500  $716,000"
"ULBI","Ultralife Corp.","Newark","NY","$76,941","$62,000  $83,000"
"ULGX","Urologix, Inc.","Minneapolis","MN","",""
"ULTA","Ulta Salon, Cosmetics & Fragrance, Inc.","Bolingbrook","IL","$91,025","$86,050  $96,000"
"ULTI","The Ultimate Software Group, Inc.","Weston","FL","$74,127","$52,500  $150,000"
"ULTR","Ultrapetrol (Bahamas) Ltd.","","","",""
"UMC","United Microelectronics Corporation","","æ°ç«¹å¸","",""
"UNF","UniFirst Corp.","Wilmington","MA","$51,420","$47,840  $55,000"
"UNFI","United Natural Foods, Inc.","Providence","RI","$63,652","$58,200  $72,260"
"UNIS","Unilife Corporation","York","PA","$158,333","$85,000  $240,000"
"UNP","Union Pacific Corporation","Omaha","NE","$68,943","$45,000  $94,560"
"TXRH","Texas Roadhouse Inc.","Louisville","KY","",""
"TXT","Textron Inc.","Providence","RI","$76,536","$48,000  $140,000"
"TYC","Tyco International Ltd.","Schaffhausen","Schaffhausen","",""
"TYL","Tyler Technologies, Inc.","Dallas","TX","$66,194","$45,000  $130,000"
"TYPE","Monotype Imaging Holdings Inc.","Woburn","MA","",""
"TZYM","Tranzyme, Inc.","Durham","NC","$196,500","$26,000  $260,000"
"UA","Under Armour, Inc.","Baltimore","MD","$74,500","$40,000  $140,000"
"UACL","Universal Truckload Services Inc.","Warren","MI","",""
"UAL","United Continental Holdings, Inc.","Chicago","IL","",""
"UAN","CVR Partners, LP","Sugar Land","TX","",""
"UBA","Urstadt Biddle Properties Inc.","Greenwich","CT","",""
"UBNT","Ubiquiti Networks, Inc.","San Jose","CA","$106,833","$57,000  $200,000"
"UBP","Urstadt Biddle Properties Inc.","Greenwich","CT","",""
"UCTT","Ultra Clean Holdings Inc.","Hayward","CA","$70,675","$55,860  $110,000"
"UDR","UDR, Inc.","Highlands Ranch","CO","",""
"UDRL","Union Drilling, Inc.","Fort Worth","TX","",""
"UEIC","Universal Electronics Inc.","Cypress","CA","$74,021","$38,896  $99,902"
"UFI","Unifi Inc.","Greensboro","NC","$78,250","$78,000  $78,500"
"UFPI","Universal Forest Products Inc.","Grand Rapids Charter Township","MI","",""
"TSYS","TeleCommunication Systems Inc.","Annapolis","MD","$80,544","$43,295  $120,000"
"TTEC","TeleTech Holdings Inc.","Englewood","CO","$73,334","$43,000  $145,000"
"TTEK","Tetra Tech Inc.","Pasadena","CA","$76,698","$44,990  $124,800"
"TTGT","TechTarget, Inc.","Newton","MA","$79,532","$45,718  $108,722"
"TTHI","Transition Therapeutics Inc.","Toronto","ON","",""
"TTI","TETRA Technologies Inc.","","TX","$71,277","$38,854  $150,000"
"TTMI","TTM Technologies Inc.","Santa Ana","CA","$75,310","$72,732  $83,043"
"TU","TELUS Corporation","Vancouver","BC","",""
"TUC","Mac-Gray Corp.","Waltham","MA","$47,784","$32,000  $90,000"
"TUES","Tuesday Morning Corp.","Dallas","TX","",""
"TUP","Tupperware Brands Corporation","Orlando","FL","$64,333","$60,000  $68,000"
"TVL","LIN TV Corp.","Providence","RI","",""
"TWI","Titan International Inc.","Quincy","IL","",""
"TWIN","Twin Disc Inc.","Racine","WI","",""
"TWMC","Trans World Entertainment Corporation","Albany","NY","",""
"TWTC","TW Telecom Inc.","Littleton","CO","$75,747","$55,016  $100,402"
"TXCC","TranSwitch Corp.","Shelton","CT","$88,995","$45,000  $174,716"
"TXI","Texas Industries Inc.","Dallas","TX","$68,858","$51,944  $95,000"
"TXN","Texas Instruments Inc.","Dallas","TX","$82,777","$49,200  $189,000"
"TRID","Trident Microsystems, Inc.","Sunnyvale","CA","$80,009","$45,000  $117,720"
"TRIP","TripAdvisor Inc.","Newton","MA","$77,540","$45,219  $125,000"
"TRK","Speedway Motorsports Inc.","Concord","NC","",""
"TRLG","True Religion Apparel Inc.","Vernon","CA","",""
"TRMB","Trimble Navigation Limited","Sunnyvale","CA","",""
"TRMD","TORM A/S","Hellerup","Hovedstaden","",""
"TRNS","Transcat Inc.","Rochester","NY","$63,636","$59,272  $68,000"
"TROW","T. Rowe Price Group, Inc.","Baltimore","MD","$81,850","$44,000  $160,000"
"TRR","TRC Companies Inc.","Lowell","MA","",""
"TRS","TriMas Corporation","Bloomfield Hills","MI","",""
"TRW","TRW Automotive Holdings Corp.","Livonia","MI","$69,741","$40,248  $138,020"
"TSCO","Tractor Supply Company","Brentwood","TN","",""
"TSLA","Tesla Motors, Inc.","San Carlos","CA","$113,836","$58,323  $250,000"
"TSN","Tyson Foods Inc.","Springdale","AR","$66,249","$22,152  $210,000"
"TSO","Tesoro Corporation","San Antonio","TX","$88,490","$35,647  $171,148"
"TSON","TranS1, Inc.","Wilmington","NC","",""
"TSRI","TSR Inc.","Hauppauge","NY","$79,544","$51,064  $115,000"
"TSRX","Trius Therapeutics, Inc.","San Diego","CA","",""
"TSS","Total System Services, Inc.","Columbus","GA","$64,650","$39,624  $93,995"
"TSTF","TeamStaff, Inc.","Atlanta","GA","",""
"TNS","TNS Inc.","Reston","VA","",""
"TOL","Toll Brothers Inc.","Horsham","PA","$42,921","$35,000  $55,250"
"TORM","TOR Minerals International Inc.","Corpus Christi","TX","",""
"TOT","Total SA","Courbevoie","Ãle-de-France","",""
"TOWR","Tower International, Inc.","Livonia","MI","",""
"TPC","Tutor Perini Corporation","","CA","",""
"TPCG","TPC Group Inc","Houston","TX","",""
"TPGI","Thomas Properties Group Inc.","Los Angeles","CA","",""
"TPL","Texas Pacific Land Trust","Dallas","TX","",""
"TPX","Tempur Pedic International Inc.","Lexington","KY","",""
