"Ticker Symbol","Period","Revenue"
"GM","2006-12","null"
"GM","2007-12","null"
"GM","2008-12","148979000000"
"GM","2009-12","104589000000"
"GM","2010-12","135592000000"
"GM","TTM","149168000000"
"GMCR","2007-09","341651000"
"GMCR","2008-09","500277000"
"GMCR","2009-09","803045000"
"GMCR","2010-09","1356775000"
"GMCR","2011-09","2650899000"
"GMCR","TTM","3234967000"
"GOOG","2007-12","16593986000"
"GOOG","2008-12","21795550000"
"GOOG","2009-12","23650563000"
"GOOG","2010-12","29321000000"
"GOOG","2011-12","37905000000"
"GOOG","TTM","37905000000"
"GRPN","2006-12","null"
"GRPN","2007-12","null"
"GRPN","2008-12","null"
"GRPN","2009-12","14540000"
"GRPN","2010-12","713365000"
"GRPN","TTM","1690914000"
"HAL","2007-12","15264000000"
"HAL","2008-12","18279000000"
"HAL","2009-12","14675000000"
"HAL","2010-12","17973000000"
"HAL","2011-12","24829000000"
"HAL","TTM","24829000000"
"HD","2007-01","90837000000"
"HD","2008-01","77349000000"
"HD","2009-01","71288000000"
"HD","2010-01","66176000000"
"HD","2011-01","67997000000"
"HD","TTM","69507000000"
"HL","2006-12","217417000"
"HL","2007-12","222622000"
"HL","2008-12","192655000"
"HL","2009-12","312548000"
"HL","2010-12","418813000"
"HL","TTM","509227000"
"HPQ","2007-10","104286000000"
"HPQ","2008-10","118364000000"
"HPQ","2009-10","114552000000"
"HPQ","2010-10","126033000000"
"HPQ","2011-10","127245000000"
"HPQ","TTM","127245000000"
"IBM","2006-12","91424000000"
"IBM","2007-12","98786000000"
"IBM","2008-12","103630000000"
"IBM","2009-12","95758000000"
"IBM","2010-12","99871000000"
"IBM","TTM","106449000000"
"IDCC","2006-12","480466000"
"IDCC","2007-12","234232000"
"IDCC","2008-12","228469000"
"IDCC","2009-12","297404000"
"IDCC","2010-12","394545000"
"IDCC","TTM","320068000"
"INTC","2006-12","35382000000"
"INTC","2007-12","38334000000"
"INTC","2008-12","37586000000"
"INTC","2009-12","35127000000"
"INTC","2010-12","43623000000"
"INTC","TTM","51569000000"
"ISRG","2007-12","600828000"
"ISRG","2008-12","874919000"
"ISRG","2009-12","1052168000"
"ISRG","2010-12","1413000000"
"ISRG","2011-12","1757300000"
"ISRG","TTM","1757300000"
"JCP","2007-01","19903000000"
"JCP","2008-01","19860000000"
"JCP","2009-01","18486000000"
"JCP","2010-01","17556000000"
"JCP","2011-01","17759000000"
"JCP","TTM","17538000000"
"JNJ","2006-12","53324000000"
"JNJ","2007-12","61095000000"
"JNJ","2008-12","63747000000"
"JNJ","2009-12","61897000000"
"JNJ","2010-12","61587000000"
"JNJ","TTM","64419000000"
"JOY","2007-10","2547322000"
"JOY","2008-10","3418934000"
"JOY","2009-10","3598314000"
"JOY","2010-10","3524334000"
"JOY","2011-10","4403906000"
"JOY","TTM","4403906000"
"KO","2006-12","24088000000"
"KO","2007-12","28857000000"
"KO","2008-12","31944000000"
"KO","2009-12","30990000000"
"KO","2010-12","35119000000"
"KO","TTM","45996000000"
"LNKD","2006-12","null"
"LNKD","2007-12","null"
"LNKD","2008-12","null"
"LNKD","2009-12","120127000"
"LNKD","2010-12","243099000"
"LNKD","TTM","436144000"
"LO","2006-12","3755000000"
"LO","2007-12","3969000000"
"LO","2008-12","4204000000"
"LO","2009-12","5233000000"
"LO","2010-12","5932000000"
"LO","TTM","6335000000"
"LRCX","2007-06","2566576000"
"LRCX","2008-06","2474911000"
"LRCX","2009-06","1115946000"
"LRCX","2010-06","2133776000"
"LRCX","2011-06","3237693000"
"LRCX","TTM","2825522000"
"LULU","2007-01","148884834"
"LULU","2008-01","274713328"
"LULU","2009-01","353488212"
"LULU","2010-01","452898000"
"LULU","2011-01","711704000"
"LULU","TTM","874718000"
"LVS","2006-12","2236859000"
"LVS","2007-12","2950567000"
"LVS","2008-12","4389946000"
"LVS","2009-12","4563105000"
"LVS","2010-12","6853182000"
"LVS","TTM","8881436000"
"MA","2007-12","4067599000"
"MA","2008-12","4991600000"
"MA","2009-12","5098684000"
"MA","2010-12","5539000000"
"MA","2011-12","6714000000"
"MA","TTM","6714000000"
"MCD","2006-12","21586400000"
"MCD","2007-12","22786600000"
"MCD","2008-12","23522400000"
"MCD","2009-12","22744700000"
"MCD","2010-12","24074600000"
"MCD","TTM","26397400000"
"MCP","2006-12","null"
"MCP","2007-12","null"
"MCP","2008-12","null"
"MCP","2009-12","7093000"
"MCP","2010-12","35157000"
"MCP","TTM","285629000"
"MGM","2006-12","7175956000"
"MGM","2007-12","7691637000"
"MGM","2008-12","7208767000"
"MGM","2009-12","5978589000"
"MGM","2010-12","6019233000"
"MGM","TTM","6990957000"
"MMM","2007-12","24462000000"
"MMM","2008-12","25269000000"
"MMM","2009-12","23123000000"
"MMM","2010-12","26662000000"
"MMM","2011-12","29611000000"
"MMM","TTM","29611000000"
"MOS","2007-05","5773700000"
"MOS","2008-05","9812600000"
"MOS","2009-05","10298000000"
"MOS","2010-05","6759100000"
"MOS","2011-05","9937800000"
"MOS","TTM","11172500000"
"MRVL","2007-01","2237553000"
"MRVL","2008-01","2894693000"
"MRVL","2009-01","2950563000"
"MRVL","2010-01","2807687000"
"MRVL","2011-01","3611893000"
"MRVL","TTM","3550852000"
"MSFT","2007-06","51122000000"
"MSFT","2008-06","60420000000"
"MSFT","2009-06","58437000000"
"MSFT","2010-06","62484000000"
"MSFT","2011-06","69943000000"
"MSFT","TTM","72052000000"
"MU","2007-08","5688000000"
"MU","2008-08","5841000000"
"MU","2009-08","4803000000"
"MU","2010-08","8482000000"
"MU","2011-08","8788000000"
"MU","TTM","8626000000"
"NEM","2006-12","4987000000"
"NEM","2007-12","5526000000"
"NEM","2008-12","6199000000"
"NEM","2009-12","7705000000"
"NEM","2010-12","9540000000"
"NEM","TTM","10141000000"
"NFLX","2007-12","1205340000"
"NFLX","2008-12","1364661000"
"NFLX","2009-12","1670269000"
"NFLX","2010-12","2162625000"
"NFLX","2011-12","3204577000"
"NFLX","TTM","3204577000"
"NKE","2007-05","16325900000"
"NKE","2008-05","18627000000"
"NKE","2009-05","19176100000"
"NKE","2010-05","19014000000"
"NKE","2011-05","20862000000"
"NKE","TTM","22657000000"
"NOK","2006-12","41156412850"
"NOK","2007-12","50996803200"
"NOK","2008-12","50905463400"
"NOK","2009-12","40984000000"
"NOK","2010-12","42446000000"
"NOK","TTM","41305000000"
"NVDA","2007-01","3068771000"
"NVDA","2008-01","4097860000"
"NVDA","2009-01","3424859000"
"NVDA","2010-01","3326445000"
"NVDA","2011-01","3543309000"
"NVDA","TTM","3931112000"
"NVLS","2006-12","1658516000"
"NVLS","2007-12","1570049000"
"NVLS","2008-12","1011004000"
"NVLS","2009-12","639194000"
"NVLS","2010-12","1349158000"
"NVLS","TTM","1454496000"
"ORCL","2007-05","17996000000"
"ORCL","2008-05","22430000000"
"ORCL","2009-05","23252000000"
"ORCL","2010-05","26820000000"
"ORCL","2011-05","35622000000"
"ORCL","TTM","36704000000"
"OXY","2006-12","18160000000"
"OXY","2007-12","20013000000"
"OXY","2008-12","24480000000"
"OXY","2009-12","15531000000"
"OXY","2010-12","19157000000"
"OXY","TTM","23149000000"
"PBR","2006-12","72347000000"
"PBR","2007-12","87735000000"
"PBR","2008-12","118257000000"
"PBR","2009-12","91869000000"
"PBR","2010-12","120052000000"
"PBR","TTM","141783000000"
"PCLN","2006-12","1123103000"
"PCLN","2007-12","1409409000"
"PCLN","2008-12","1884806000"
"PCLN","2009-12","2338212000"
"PCLN","2010-12","3084905000"
"PCLN","TTM","4096153000"
"PCX","2006-12","1147919000"
"PCX","2007-12","1073362000"
"PCX","2008-12","1654622000"
"PCX","2009-12","2045283000"
"PCX","2010-12","2035111000"
"PCX","TTM","2326758000"
"PFE","2006-12","48371000000"
"PFE","2007-12","48418000000"
"PFE","2008-12","48296000000"
"PFE","2009-12","50009000000"
"PFE","2010-12","67809000000"
"PFE","TTM","68785000000"
"PG","2007-06","76476000000"
"PG","2008-06","83503000000"
