"Buddy Media","New York, NY","https://www.secondmarket.com/company/buddy-media"
"Liquidnet Holdings","New York, NY","https://www.secondmarket.com/company/liquidnet-holdings"
"ZocDoc","New York, NY","https://www.secondmarket.com/company/zoc-doc"
"Hunch","New York, NY","https://www.secondmarket.com/company/hunch"
"Zendesk","San Francisco, CA","https://www.secondmarket.com/company/zendesk"
"Color Labs","Palo Alto, CA","https://www.secondmarket.com/company/color"
"Burger King","Miami, FL","https://www.secondmarket.com/company/burger-king"
"Workday","Pleasanton, CA","https://www.secondmarket.com/company/workday"
"Bonobos","New York, NY","https://www.secondmarket.com/company/bonobos"
"Ustream","San Francisco, CA","https://www.secondmarket.com/company/ustream"
"Asana","San Francisco, CA","https://www.secondmarket.com/company/asana"
"bit.ly","New York, NY","https://www.secondmarket.com/company/bitly"
"Klout","San Francisco, CA","https://www.secondmarket.com/company/klout"
"Atari","New York, NY","https://www.secondmarket.com/company/atari"
"Palo Alto Networks","Santa Clara, CA","https://www.secondmarket.com/company/palo-alto-networks"
"SurveyMonkey","Portland, OR","https://www.secondmarket.com/company/surveymonkey"
"Space Exploration Technologies (SpaceX)","Hawthorne, CA","https://www.secondmarket.com/company/space-exploration-technologies"
"Qwiki","San Francisco, CA","https://www.secondmarket.com/company/qwiki"
"SugarCRM","Cupertino, CA","https://www.secondmarket.com/company/sugarcrm"
"Path","San Francisco, CA","https://www.secondmarket.com/company/path"
"GameFly","Los Angeles, CA","https://www.secondmarket.com/company/gamefly"
"Hipmunk","San Francisco, CA","https://www.secondmarket.com/company/hipmunk"
"One Kings Lane","San Francisco, CA","https://www.secondmarket.com/company/one-kings-lane"
"Bump Technologies","Mountain View, CA","https://www.secondmarket.com/company/bump-technologies"
"Xobni","San Francisco, CA","https://www.secondmarket.com/company/xobni"
"Zazzle","Redwood City, CA","https://www.secondmarket.com/company/zazzle"
"Coupons.com","Mountain View, CA","https://www.secondmarket.com/company/couponscom"
"Better Place","Palo Alto, CA","https://www.secondmarket.com/company/better-place"
"Gawker Media","New York, NY","https://www.secondmarket.com/company/gawker-media"
